RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;8236516;
Nederland;L528;AantalOngeldigeStemmen;;37115;
Nederland;L528;Kiesgerechtigden;;10216627;
Nederland;L528;Opkomst;;8273631;
Nederland;L528;;PvdA;2503517;47
Nederland;L528;;CDA;2420441;45
Nederland;L528;;VVD;1900763;36
Nederland;L528;;D66;351278;6
Nederland;L528;;PSP;187547;3
Nederland;L528;;SGP;156636;3
Nederland;L528;;CPN;147753;3
Nederland;L528;;PPR;136446;2
Nederland;L528;;RPF;124235;2
Nederland;L528;;CP;68423;1
Nederland;L528;;GPV;67163;1
Nederland;L528;;Evangelische Volkspartij;56466;1
Nederland;L528;;SP;44959;
Nederland;L528;;DS70;31047;
Nederland;L528;;Rechtse Volkspartij;21987;
Nederland;L528;;Rooms Katholieke Partij Nederland;12689;
Nederland;L528;;God Met Ons;3157;
Nederland;L528;;NVU;1632;
Nederland;L528;;Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij;250;
Nederland;L528;;Kleine Partij;127;
